,Medicine Name ,Medicine MF,Medicine MW,IUPAC Name,Compound CID ,Create Date
31,ambroxol; 18683-91-5; 107814-37-9; rac-cis-Ambroxol; 36557-04-7; ...,C13H18Br2N2O,C13H18Br2N2O,Isomeric SMILES: C1CC(CCC1NCC2=C(C(=CC(=C2)Br)Br)N)O,2132,  2005-03-25
32,(-)-Rapamycin; 53123-88-9; AY 22989; AY-22989; I 2190A; ...,C51H79NO13,C51H79NO13,Isomeric SMILES: C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)O)C)/C)O)OC)C)C)/C)OC,5284616,  2005-06-24
33,Relacatib; SB-462795; 362505-84-8; UNII-BL51M8CB8R; BL51M8CB8R; ...,C27H32N4O6S,C27H32N4O6S,Isomeric SMILES: C[C@@H]1CC[C@@H](C(=O)CN1S(=O)(=O)C2=CC=CC=N2)NC(=O)[C@H](CC(C)C)NC(=O)C3=CC4=CC=CC=C4O3,6918602,  2006-07-28
34,ONO-5334; UNII-9TDN93L9FN; 868273-90-9; 9TDN93L9FN; CID 11582982; ...,C21H34N4O4S,C21H34N4O4S,Isomeric SMILES: C[C@@H]1CS/C(=N\NC(=O)C(=O)[C@H](C2CCOCC2)NC(=O)C3CCCCCC3)/N1C,11582982,  2006-10-26
35,Cobicistat; 1004316-88-4; Cobicistat (GS-9350); Tybost; GS-9350; ...,C40H53N7O5S2,C40H53N7O5S2,Isomeric SMILES: CC(C)C1=NC(=CS1)CN(C)C(=O)N[C@@H](CCN2CCOCC2)C(=O)N[C@H](CC[C@H](CC3=CC=CC=C3)NC(=O)OCC4=CN=CS4)CC5=CC=CC=C5,25151504,  2009-02-23
36,"AZD7986; brensocatib; 1802148-05-5; INS1007; (S)-N-((S)-1-cyano-2-(4-(3-methyl-2-oxo-2,3-dihydrobenzo[d]oxazol-5-yl)phenyl)ethyl)-1,4-oxazepane-2-carboxamide; ...",C23H24N4O4,C23H24N4O4,Isomeric SMILES: CN1C2=C(C=CC(=C2)C3=CC=C(C=C3)C[C@@H](C#N)NC(=O)[C@@H]4CNCCCO4)OC1=O,118253852,  2016-02-23
37,Selinexor; KPT-330; 1393477-72-9; Xpovio; Selinexor (KPT-330); ...,C17H11F6N7O,C17H11F6N7O,Isomeric SMILES: C1=CN=C(C=N1)NNC(=O)/C=C\N2C=NC(=N2)C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F,71481097,  2013-06-10
38,Otamixaban; 193153-04-7; FXV-673; XRP0673; XRP-0673; ...,C25H26N4O4,C25H26N4O4,Isomeric SMILES: C[C@H]([C@@H](CC1=CC(=CC=C1)C(=N)N)C(=O)OC)NC(=O)C2=CC=C(C=C2)C3=CC=[N+](C=C3)[O-],5496659,  2005-06-24
39,"64-86-8; (R/S)-Colchicine; Colchine; 209810-38-8; N-(1,2,3,10-Tetramethoxy-9-oxo-5,6,7,9-tetrahydrobenzo[a]heptalen-7-yl)acetamide; ...",C22H25NO6,C22H25NO6,Isomeric SMILES: CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,2833,  2005-03-25
40,Nafamostat; 81525-10-2; Nafamostat [INN]; UNII-Y25LQ0H97D; Nafamstat; ...,C19H17N5O2,C19H17N5O2,Isomeric SMILES: C1=CC(=CC=C1C(=O)OC2=CC3=C(C=C2)C=C(C=C3)C(=N)N)N=C(N)N,4413,  2005-03-25
41,colchicine; 64-86-8; Colchisol; Colchicin; Colchineos; ...,C22H25NO6,C22H25NO6,Isomeric SMILES: CC(=O)N[C@H]1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,6167,  2005-03-26
42,TRV-120027; trv027; UNII-J1J4P3PQZD; TRV120027; TRV-027; ...,C43H67N13O10,C43H67N13O10,Isomeric SMILES: CC[C@H](C)[C@@H](C(=O)N[C@@H](CC1=CN=CN1)C(=O)N2CCC[C@H]2C(=O)N[C@H](C)C(=O)O)NC(=O)[C@H](CC3=CC=C(C=C3)O)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCCN=C(N)N)NC(=O)CNC,3082475,  2005-08-09
43,ABC294640; 915385-81-8; Opaganib; ABC-294640; ABC 294640; ...,C23H25ClN2O,C23H25ClN2O,Isomeric SMILES: C1C2CC3(CC1CC(C2)(C3)C(=O)NCC4=CC=NC=C4)C5=CC=C(C=C5)Cl,15604015,  2007-02-12
44,Bemcentinib; 1037624-75-1; R428; BGB324; BGB-324; ...,C30H34N8,C30H34N8,Isomeric SMILES: C1CCN(C1)[C@H]2CCC3=C(CC2)C=C(C=C3)NC4=NN(C(=N4)N)C5=NN=C6C(=C5)CCCC7=CC=CC=C76,46215462,  2010-07-06
45,Acalabrutinib; 1420477-60-6; ACP-196; Calquence; Acalabrutinib (ACP-196); ...,C26H23N7O2,C26H23N7O2,Isomeric SMILES: CC#CC(=O)N1CCC[C@H]1C2=NC(=C3N2C=CN=C3N)C4=CC=C(C=C4)C(=O)NC5=CC=CC=N5,71226662,  2013-03-21
46,Zilucoplan; UNII-YG391PK0CC; YG391PK0CC; RA101495; Zilucoplan [INN]; ...,C172H278N24O55,C172H278N24O55,Isomeric SMILES: CCCCCCCCCCCCCCCC(=O)N[C@@H](CCC(=O)NCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCC(=O)NCCCC[C@@H](C(=O)O)NC(=O)[C@H](C1CCCCC1)NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC3=CC=C(C=C3)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC4=CNC5=C4C=CC=N5)NC(=O)[C@H](CC6=CC=C(C=C6)O)NC(=O)[C@H](C(C)(C)C)NC(=O)[C@H](CC(=O)O)N(C)C(=O)[C@@H]7CC(=O)NCCCC[C@@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N7)CC8=CC=CC=C8)CCCNC(=N)N)CCC(=O)O)C(C)C)NC(=O)C)C(=O)O,133083018,  2018-05-16
47,Ifenprodil; 23210-56-2; ifenprodil tartrate; IFENPRODIL HEMITARTRATE; Dilvax; ...,C21H27NO2,C21H27NO2,Isomeric SMILES: CC(C(C1=CC=C(C=C1)O)O)N2CCC(CC2)CC3=CC=CC=C3,3689,  2005-03-25
48,Vidofludimus; 717824-30-1; 4SC-101; 2-[[2-fluoro-4-(3-methoxyphenyl)phenyl]carbamoyl]cyclopentene-1-carboxylic Acid; SC12267; ...,C20H18FNO4,C20H18FNO4,Isomeric SMILES: COC1=CC=CC(=C1)C2=CC(=C(C=C2)NC(=O)C3=C(CCC3)C(=O)O)F,9820008,  2006-10-25
49,Cenicriviroc; TBR-652; 497223-25-3; TAK-652; TBR652; ...,C41H52N4O4S,C41H52N4O4S,Isomeric SMILES: CCCCOCCOC1=CC=C(C=C1)C2=CC/3=C(C=C2)N(CCC/C(=C3)/C(=O)NC4=CC=C(C=C4)[S@@](=O)CC5=CN=CN5CCC)CC(C)C,11285792,  2006-10-26
50,"Sodium heparin; (2S,3S,4R,5R,6R)-6-{[(2S,3S,4S,5R,6S)-6-{[(2R,3S,4S,5R)-2-carboxy-4,6-dihydroxy-5-(sulfooxy)oxan-3-yl]oxy}-2-hydroxy-4-(sulfomethyl)-5-(sulfooxy)oxan-3-yl]oxy}-3-{[(2R,3R,4R,5S,6R)-3-acetamido-4,5-dihydroxy-6-[(sulfooxy)methyl]oxan-2-yl]oxy}-4,5-dihydroxyoxane-2-carboxylic acid; HepFlush; CHEMBL526514; GTPL4214; ...",C26H41NO34S4,C26H41NO34S4,Isomeric SMILES: CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@@H]1O[C@H]2[C@@H]([C@H]([C@@H](O[C@@H]2C(=O)O)O[C@H]3[C@@H]([C@H]([C@H](O[C@@H]3O)O[C@H]4[C@@H]([C@H](C(O[C@H]4C(=O)O)O)OS(=O)(=O)O)O)OS(=O)(=O)O)CS(=O)(=O)O)O)O)COS(=O)(=O)O)O)O,22833565,  2007-12-05
51,"Avitinib; Abivertinib; 1557267-42-1; N-(3-((2-((3-Fluoro-4-(4-methylpiperazin-1-yl)phenyl)amino)-7H-pyrrolo[2,3-d]pyrimidin-4-yl)oxy)phenyl)acrylamide; AC0010; ...",C26H26FN7O2,C26H26FN7O2,Isomeric SMILES: CN1CCN(CC1)C2=C(C=C(C=C2)NC3=NC4=C(C=CN4)C(=N3)OC5=CC=CC(=C5)NC(=O)C=C)F,72734520,  2014-02-18
52,Apremilast; 608141-41-9; OTEZLA; CC-10004; CC 10004; ...,C22H24N2O7S,C22H24N2O7S,Isomeric SMILES: CCOC1=C(C=CC(=C1)[C@@H](CS(=O)(=O)C)N2C(=O)C3=C(C2=O)C(=CC=C3)NC(=O)C)OC,11561674,  2006-10-26
53,"Brequinar; 96187-53-0; 6-Fluoro-2-(2'-fluoro-[1,1'-biphenyl]-4-yl)-3-methylquinoline-4-carboxylic acid; brequinarum; Biphenquinate; ...",C23H15F2NO2,C23H15F2NO2,Isomeric SMILES: CC1=C(C2=C(C=CC(=C2)F)N=C1C3=CC=C(C=C3)C4=CC=CC=C4F)C(=O)O,57030,  2005-03-28
54,"Icatibant; Firazyr; HOE140; HOE 140; (2S)-2-[[(3aS,7aS)-1-[2-[(2S)-2-[[(2S)-2-[[2-[[(4R)-1-[1-[2-[[(2R)-2-amino-5-(diaminomethylideneamino)pentanoyl]amino]-5-(diaminomethylideneamino)pentanoyl]pyrrolidine-2-carbonyl]-4-hydroxy-pyrrolidine-2-carbonyl]amino]acetyl]amino]-3-thiophen-2-yl-propan; ...",C59H89N19O13S,C59H89N19O13S,Isomeric SMILES: C1CC[C@H]2[C@@H](C1)CC(N2C(=O)C3CC4=CC=CC=C4CN3C(=O)[C@H](CO)NC(=O)[C@H](CC5=CC=CS5)NC(=O)CNC(=O)C6C[C@H](CN6C(=O)C7CCCN7C(=O)C(CCCN=C(N)N)NC(=O)[C@@H](CCCN=C(N)N)N)O)C(=O)N[C@@H](CCCN=C(N)N)C(=O)O,71364,  2005-08-08
55,Vorapaxar; 618385-01-6; Zontivity; Sch 530348; SCH-530348; ...,C29H33FN2O4,C29H33FN2O4,Isomeric SMILES: CCOC(=O)N[C@@H]1CC[C@@H]2[C@@H](C1)C[C@@H]3[C@H]([C@H]2/C=C/C4=NC=C(C=C4)C5=CC(=CC=C5)F)[C@H](OC3=O)C,10077130,  2006-10-25
56,"mosedipimod; EC-18; 1-palmitoyl-2-linoleoyl-3-acetyl-rac-glycerol; 221139-79-3; (1-acetyloxy-3-hexadecanoyloxypropan-2-yl) (9Z,12Z)-octadeca-9,12-dienoate; ...",C39H70O6,C39H70O6,Isomeric SMILES: CCCCCCCCCCCCCCCC(=O)OCC(COC(=O)C)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC,9960925,  2006-10-25
57,TAK-981; 1858276-04-6; Subasumstat; UNII-XQ43H3V6M1; XQ43H3V6M1; ...,C25H28ClN5O5S2,C25H28ClN5O5S2,Isomeric SMILES: CC1=C(C=C(S1)C(=O)C2=CN=CN=C2N[C@@H]3C[C@@H]([C@H](C3)O)COS(=O)(=O)N)[C@H]4C5=C(CCN4)C=CC(=C5)Cl,118628567,  2016-02-23
58,"7-[[2-(2-amino-1,3-thiazol-4-yl)-2-(2,2-dimethylpropanoyloxymethoxyimino)acetyl]amino]-3-ethenyl-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid",C20H23N5O7S2,C20H23N5O7S2,Isomeric SMILES: CC(C)(C)C(=O)OCON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)C=C)C(=O)O,139595263,  2019-11-22
59,n-oleoylethanolamine; oleoylethanolamide; 111-58-0; N-(2-Hydroxyethyl)oleamide; Oleylethanolamide; ...,C20H39NO2,C20H39NO2,Isomeric SMILES: CCCCCCCC/C=C\CCCCCCCC(=O)NCCO,5283454,  2006-01-13
60,"Thymoquinone; 490-91-5; Thymoquinon; p-Cymene-2,5-dione; 2-Isopropyl-5-methyl-1,4-benzoquinone; ...",C10H12O2,C10H12O2,Isomeric SMILES: CC1=CC(=O)C(=CC1=O)C(C)C,10281,  2005-03-26
61,Boceprevir; 394730-60-0; Victrelis; SCH 503034; EBP 520; ...,C27H45N5O5,C27H45N5O5,Isomeric SMILES: CC1([C@@H]2[C@H]1[C@H](N(C2)C(=O)[C@H](C(C)(C)C)NC(=O)NC(C)(C)C)C(=O)NC(CC3CCC3)C(=O)C(=O)N)C,10324367,  2006-10-25
62,"sulfamethoxazole & trimethoprim; sulfamethoxazole + trimethoprim; CO-Trimoxazole; Trimosulfa; ...; Trimethoprim, Sulfamethoxazole Drug Combination; ...",C24H29N7O6S,C24H29N7O6S,Isomeric SMILES: CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)N.COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N,358641,  2005-03-26
63,"phenytoin; 5,5-DIPHENYLHYDANTOIN; 57-41-0; Diphenylhydantoin; ...; 5,5-Diphenylhydantoin solution, drug standard, 1.0 mg/mL in methanol; ...",C15H12N2O2,C15H12N2O2,Isomeric SMILES: C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,1775,  2005-03-25
64,"busulfan; 55-98-1; Myleran; Busulphan; ...; Busulfan, analytical standard, for drug analysis; ...",C6H14O6S2,C6H14O6S2,Isomeric SMILES: CS(=O)(=O)OCCCCOS(=O)(=O)C,2478,  2005-03-25
65,"diazepam; 439-14-5; Valium; Ansiolisina; ...; Diazepam solution, 1.0 mg/mL in methanol, analytical standard, for drug analysis; ...",C16H13ClN2O,C16H13ClN2O,Isomeric SMILES: CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3,3016,  2005-03-25
66,"hydrochlorothiazide; 58-93-5; HCTZ; Esidrix; ...; Hydrochlorothiazide, drug standard, 1.0 mg/mL in methanol; ...",C7H8ClN3O4S2,C7H8ClN3O4S2,Isomeric SMILES: C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl,3639,  2005-03-25
67,"indapamide; 26807-65-8; Noranat; Veroxil; ...; Indapamide, analytical standard, for drug analysis; ...",C16H16ClN3O3S,C16H16ClN3O3S,Isomeric SMILES: CC1CC2=CC=CC=C2N1NC(=O)C3=CC(=C(C=C3)Cl)S(=O)(=O)N,3702,  2005-03-25
68,"acetaminophen; Paracetamol; 4-Acetamidophenol; 103-90-2; ...; Acetaminophen solution, drug standard, 1.0 mg/mL in methanol; ...",C8H9NO2,C8H9NO2,Isomeric SMILES: CC(=O)NC1=CC=C(C=C1)O,1983,  2004-09-16
69,"alprazolam; Xanax; 28981-97-7; Trankimazin; ...; Alprazolam solution, 1 mg/mL in methanol, analytical standard, for drug analysis; ...",C17H13ClN4,C17H13ClN4,Isomeric SMILES: CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4,2118,  2005-03-25
70,"bisacodyl; 603-50-9; Dulcolax; Brocalax; ...; Bisacodyl, analytical standard, for drug analysis; ...",C22H19NO4,C22H19NO4,Isomeric SMILES: CC(=O)OC1=CC=C(C=C1)C(C2=CC=C(C=C2)OC(=O)C)C3=CC=CC=N3,2391,  2005-03-25
71,"clonazepam; Klonopin; 1622-61-3; Chlonazepam; ...; Clonazepam solution, drug standard, 1.0 mg/mL in methanol; ...",C15H10ClN3O3,C15H10ClN3O3,Isomeric SMILES: C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3Cl,2802,  2005-03-25
72,"AMPHETAMINE; Amfetamine; 1-phenylpropan-2-amine; dl-Amphetamine; ...; DL-Amphetamine solution, 1 mg/mL in methanol, drug standard; ...",C9H13N,C9H13N,Isomeric SMILES: CC(CC1=CC=CC=C1)N,3007,  2005-03-25
73,"meperidine; Pethidine; Isonipecaine; Demerol; ...; Meperidine solution, 1 mg/mL in methanol, drug standard; ...",C15H21NO2,C15H21NO2,Isomeric SMILES: CCOC(=O)C1(CCN(CC1)C)C2=CC=CC=C2,4058,  2005-03-25
